Starting Error Log for today 05/07/24 03:57:03
New() >> Init done - 05/07/24 03:57:03
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000954; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 11/07/24 02:25:02
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: E280689400005023D09830AE; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 11/07/24 02:25:03
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: E280689400005023D09830AE; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 11/07/24 02:25:27
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000007CA7; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 11/07/24 02:25:27
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: E280689400005023D09830AE; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 11/07/24 02:25:40
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000956; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 11/07/24 02:25:40
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: E280689400005023D09830AE; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 11/07/24 02:26:01
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000007CA7; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 11/07/24 02:26:01
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000955; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 11/07/24 02:26:12
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: E280689400005023D09830AE; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 11/07/24 02:26:12
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000246; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 11/07/24 02:41:04
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000246; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 12/07/24 09:35:07
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000246; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 12/07/24 10:25:22
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000834; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 12/07/24 10:25:23
