Starting Error Log for today 10/06/24 11:06:07
New() >> Init done - 10/06/24 11:06:07
New() >> Init done - 10/06/24 11:08:32
myUpdateRead() >> Emailing >> hostName: 10.28.92.50; location: Tower Zone; antennaID: 1; RFID: B32306040000000000000080; tagTime: 10/6/2024 11:29:42 AM - 10/06/24 11:29:43
myUpdateRead() >> Emailing >> hostName: 10.28.92.50; location: Tower Zone; antennaID: 2; RFID: B32306040000000000000066; tagTime: 10/6/2024 11:34:19 AM - 10/06/24 11:34:19
myUpdateRead() >> Emailing >> hostName: 10.28.92.50; location: Tower Zone; antennaID: 2; RFID: B32306040000000000000080; tagTime: 10/6/2024 11:34:19 AM - 10/06/24 11:34:19
myUpdateRead() >> Emailing >> hostName: 10.28.92.50; location: Tower Zone; antennaID: 2; RFID: B32306040000000000000066; tagTime: 10/6/2024 11:34:19 AM - 10/06/24 11:34:19
myUpdateRead() >> Emailing >> hostName: 10.28.92.50; location: Tower Zone; antennaID: 2; RFID: B32306040000000000000055; tagTime: 10/6/2024 11:34:19 AM - 10/06/24 11:34:19
myUpdateRead() >> Emailing >> hostName: 10.28.92.50; location: Tower Zone; antennaID: 2; RFID: B32306040000000000000066; tagTime: 10/6/2024 11:34:19 AM - 10/06/24 11:34:20
myUpdateRead() >> Emailing >> hostName: 10.28.92.50; location: Tower Zone; antennaID: 2; RFID: B32306040000000000000080; tagTime: 10/6/2024 11:34:20 AM - 10/06/24 11:34:20
myUpdateRead() >> Emailing >> hostName: 10.28.92.50; location: Tower Zone; antennaID: 2; RFID: B32306040000000000000066; tagTime: 10/6/2024 11:34:20 AM - 10/06/24 11:34:20
New() >> Init done - 10/06/24 12:26:45
New() >> Init done - 10/06/24 12:27:07
New() >> Init done - 10/06/24 12:31:08
myUpdateRead() >> Emailing >> hostName: 10.28.92.50; location: Tower Zone; antennaID: 1; RFID: B32306040000000000000066; tagTime: 6/10/2024 1:53:55 PM - 10/06/24 01:53:56
myUpdateRead() >> Emailing >> hostName: 10.28.92.50; location: Tower Zone; antennaID: 1; RFID: B32306040000000000000055; tagTime: 6/10/2024 1:53:56 PM - 10/06/24 01:53:56
myUpdateRead() >> Emailing >> hostName: 10.28.92.50; location: Tower Zone; antennaID: 1; RFID: B32306040000000000000066; tagTime: 6/10/2024 1:53:56 PM - 10/06/24 01:53:56
myUpdateRead() >> Emailing >> hostName: 10.28.92.50; location: Tower Zone; antennaID: 1; RFID: B32306040000000000000055; tagTime: 6/10/2024 1:53:56 PM - 10/06/24 01:53:56
myUpdateRead() >> Emailing >> hostName: 10.28.92.50; location: Tower Zone; antennaID: 1; RFID: B32306040000000000000066; tagTime: 6/10/2024 1:53:56 PM - 10/06/24 01:53:56
myUpdateRead() >> Emailing >> hostName: 10.28.92.50; location: Tower Zone; antennaID: 1; RFID: B32306040000000000000055; tagTime: 6/10/2024 1:53:56 PM - 10/06/24 01:53:56
myUpdateRead() >> Emailing >> hostName: 10.28.92.50; location: Tower Zone; antennaID: 1; RFID: B32306040000000000000066; tagTime: 6/10/2024 1:53:56 PM - 10/06/24 01:53:56
myUpdateRead() >> Emailing >> hostName: 10.28.92.50; location: Tower Zone; antennaID: 1; RFID: B32306040000000000000055; tagTime: 6/10/2024 1:53:56 PM - 10/06/24 01:53:56
myUpdateRead() >> Emailing >> hostName: 10.28.92.50; location: Tower Zone; antennaID: 1; RFID: B32306040000000000000066; tagTime: 6/10/2024 1:53:56 PM - 10/06/24 01:53:56
myUpdateRead() >> Emailing >> hostName: 10.28.92.50; location: Tower Zone; antennaID: 1; RFID: B32306040000000000000055; tagTime: 6/10/2024 1:53:56 PM - 10/06/24 01:53:56
myUpdateRead() >> Emailing >> hostName: 10.28.92.50; location: Tower Zone; antennaID: 1; RFID: B32306040000000000000066; tagTime: 6/10/2024 1:53:56 PM - 10/06/24 01:53:56
myUpdateRead() >> Emailing >> hostName: 10.28.92.50; location: Tower Zone; antennaID: 1; RFID: B32306040000000000000055; tagTime: 6/10/2024 1:53:56 PM - 10/06/24 01:53:56
myUpdateRead() >> Emailing >> hostName: 10.28.92.50; location: Tower Zone; antennaID: 1; RFID: B32306040000000000000066; tagTime: 6/10/2024 1:53:56 PM - 10/06/24 01:53:56
myUpdateRead() >> Emailing >> hostName: 10.28.92.50; location: Tower Zone; antennaID: 1; RFID: B32306040000000000000055; tagTime: 6/10/2024 1:53:56 PM - 10/06/24 01:53:56
myUpdateRead() >> Emailing >> hostName: 10.28.92.50; location: Tower Zone; antennaID: 1; RFID: B32306040000000000000066; tagTime: 6/10/2024 1:53:56 PM - 10/06/24 01:53:56
myUpdateRead() >> Emailing >> hostName: 10.28.92.50; location: Tower Zone; antennaID: 1; RFID: B32306040000000000000055; tagTime: 6/10/2024 1:53:56 PM - 10/06/24 01:53:56
myUpdateRead() >> Emailing >> hostName: 10.28.92.50; location: Tower Zone; antennaID: 1; RFID: B32306040000000000000066; tagTime: 6/10/2024 1:53:56 PM - 10/06/24 01:53:56
StartUpdateDBTower() >> pTRAN_TYPE: IN; pRFID: B32306040000000000000066; pReader: EED389; pIPADDR: 10.28.92.50; SP: SP_FILM_UPDATE_TRAN - 10/06/24 01:54:06
StartUpdateDBTower() >> pTRAN_TYPE: IN; pRFID: B32306040000000000000055; pReader: EED389; pIPADDR: 10.28.92.50; SP: SP_FILM_UPDATE_TRAN - 10/06/24 01:54:06
myUpdateRead() >> Emailing >> hostName: 10.28.92.50; location: Tower Zone; antennaID: 2; RFID: B32306040000000000000055; tagTime: 6/10/2024 1:55:14 PM - 10/06/24 01:55:14
myUpdateRead() >> Emailing >> hostName: 10.28.92.50; location: Tower Zone; antennaID: 2; RFID: B32306040000000000000066; tagTime: 6/10/2024 1:55:14 PM - 10/06/24 01:55:14
StartUpdateDBTower() >> pTRAN_TYPE: IN; pRFID: B32306040000000000000066; pReader: EED389; pIPADDR: 10.28.92.50; SP: SP_FILM_UPDATE_TRAN - 10/06/24 01:55:16
StartUpdateDBTower() >> pTRAN_TYPE: IN; pRFID: B32306040000000000000055; pReader: EED389; pIPADDR: 10.28.92.50; SP: SP_FILM_UPDATE_TRAN - 10/06/24 01:55:16
myUpdateRead() >> Emailing >> hostName: 10.28.92.50; location: Tower Zone; antennaID: 1; RFID: B32306040000000000000080; tagTime: 6/11/2024 9:08:55 AM - 11/06/24 09:08:55
myUpdateRead() >> Emailing >> hostName: 10.28.92.50; location: Tower Zone; antennaID: 1; RFID: B32306040000000000000099; tagTime: 6/11/2024 9:08:55 AM - 11/06/24 09:08:55
myUpdateRead() >> Emailing >> hostName: 10.28.92.50; location: Tower Zone; antennaID: 1; RFID: B32306040000000000000099; tagTime: 6/11/2024 9:08:55 AM - 11/06/24 09:08:55
myUpdateRead() >> Emailing >> hostName: 10.28.92.50; location: Tower Zone; antennaID: 1; RFID: B32306040000000000000078; tagTime: 6/11/2024 9:08:56 AM - 11/06/24 09:08:56
myUpdateRead() >> Emailing >> hostName: 10.28.92.50; location: Tower Zone; antennaID: 1; RFID: B32306040000000000000060; tagTime: 6/11/2024 9:08:56 AM - 11/06/24 09:08:56
myUpdateRead() >> Emailing >> hostName: 10.28.92.50; location: Tower Zone; antennaID: 1; RFID: E28011502000147353521801; tagTime: 6/11/2024 9:08:56 AM - 11/06/24 09:08:56
myUpdateRead() >> Emailing >> hostName: 10.28.92.50; location: Tower Zone; antennaID: 1; RFID: B32306040000000000000078; tagTime: 6/11/2024 9:08:56 AM - 11/06/24 09:08:56
myUpdateRead() >> Emailing >> hostName: 10.28.92.50; location: Tower Zone; antennaID: 1; RFID: B32306040000000000000058; tagTime: 6/11/2024 9:08:56 AM - 11/06/24 09:08:56
myUpdateRead() >> Emailing >> hostName: 10.28.92.50; location: Tower Zone; antennaID: 1; RFID: B32306040000000000000080; tagTime: 6/11/2024 9:08:56 AM - 11/06/24 09:08:56
myUpdateRead() >> Emailing >> hostName: 10.28.92.50; location: Tower Zone; antennaID: 1; RFID: B32306040000000000000067; tagTime: 6/11/2024 9:08:56 AM - 11/06/24 09:08:56
myUpdateRead() >> Emailing >> hostName: 10.28.92.50; location: Tower Zone; antennaID: 1; RFID: B32306040000000000000078; tagTime: 6/11/2024 9:08:56 AM - 11/06/24 09:08:56
myUpdateRead() >> Emailing >> hostName: 10.28.92.50; location: Tower Zone; antennaID: 1; RFID: B32306040000000000000060; tagTime: 6/11/2024 9:08:56 AM - 11/06/24 09:08:56
myUpdateRead() >> Emailing >> hostName: 10.28.92.50; location: Tower Zone; antennaID: 1; RFID: B32306040000000000000067; tagTime: 6/11/2024 9:08:56 AM - 11/06/24 09:08:56
myUpdateRead() >> Emailing >> hostName: 10.28.92.50; location: Tower Zone; antennaID: 1; RFID: B32306040000000000000058; tagTime: 6/11/2024 9:08:56 AM - 11/06/24 09:08:56
