Starting Error Log for today 15/05/25 09:00:02
New() >> Init done - 15/05/25 09:00:02
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000330; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 22/05/25 10:36:05
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000246; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 22/05/25 10:36:05
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000304; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 22/05/25 10:36:05
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32506010000000000000009; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 22/05/25 10:36:05
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000435; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 22/05/25 10:36:06
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000784; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 22/05/25 10:36:06
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32506010000000000000031; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 22/05/25 10:36:06
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000330; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 22/05/25 10:47:19
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000246; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 22/05/25 10:47:19
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32506010000000000000012; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 22/05/25 10:47:19
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000428; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 22/05/25 10:47:19
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000304; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 22/05/25 10:47:19
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32506010000000000000009; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 22/05/25 10:47:19
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000435; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 22/05/25 10:47:19
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000784; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 22/05/25 10:47:19
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000793; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 22/05/25 10:47:19
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32506010000000000000031; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 22/05/25 10:47:19
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000747; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 22/05/25 10:47:20
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32506010000000000000029; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 22/05/25 10:48:14
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32506010000000000000030; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 22/05/25 10:48:14
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000439; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 22/05/25 04:03:24
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000428; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 22/05/25 04:03:24
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000519; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 22/05/25 04:03:24
