Starting Error Log for today 18/08/24 02:02:33
New() >> Init done - 18/08/24 02:02:33
myUpdateRead() >> Emailing >> hostName: 10.28.92.50; location: Tower Zone; antennaID: 2; RFID: E20030328208010419504993; tagTime: 8/19/2024 2:16:43 PM - 19/08/24 02:16:43
StartUpdateDBTower() >> pTRAN_TYPE: IN; pRFID: E20030328208010419504993; pReader: EED389; pIPADDR: 10.28.92.50; SP: SP_FILM_UPDATE_TRAN - 19/08/24 02:16:51
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000007CA7; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 20/08/24 11:21:44
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000007CA7; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 20/08/24 11:37:16
myUpdateRead() >> Emailing >> hostName: 10.28.92.50; location: Tower Zone; antennaID: 1; RFID: E2003032820B004121803076; tagTime: 8/20/2024 2:29:57 PM - 20/08/24 02:29:57
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: E2003032820B004121803076; pReader: EED389; pIPADDR: 10.28.92.50; SP: SP_FILM_UPDATE_TRAN - 20/08/24 02:30:00
myUpdateRead() >> Emailing >> hostName: 10.28.92.50; location: Tower Zone; antennaID: 2; RFID: E2003032820B004121803076; tagTime: 8/21/2024 3:16:27 PM - 21/08/24 03:16:27
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000246; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 26/08/24 11:14:26
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000710; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 26/08/24 11:14:27
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000371; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 26/08/24 11:14:27
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000548; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 26/08/24 11:14:27
