Starting Error Log for today 20/04/25 11:11:24
New() >> Init done - 20/04/25 11:11:24
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000246; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 23/04/25 04:32:18
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000246; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 24/04/25 09:29:53
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000246; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 24/04/25 10:47:10
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000246; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 24/04/25 03:27:09
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000710; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 24/04/25 03:27:09
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000371; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 24/04/25 03:27:09
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000001141; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 24/04/25 03:27:09
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000001103; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 24/04/25 03:27:09
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000246; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 28/04/25 09:30:19
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000348; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 28/04/25 09:30:20
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000710; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 28/04/25 09:30:20
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000371; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 28/04/25 09:30:20
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000246; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 28/04/25 09:36:36
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000710; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 28/04/25 09:36:36
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000428; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 28/04/25 09:36:36
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000371; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 28/04/25 09:36:36
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000304; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 28/04/25 09:36:36
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000348; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 28/04/25 09:36:36
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000811; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 28/04/25 09:36:36
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000246; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 28/04/25 09:47:00
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000710; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 28/04/25 09:47:00
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000428; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 28/04/25 09:47:00
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000371; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 28/04/25 09:47:00
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000304; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 28/04/25 09:47:01
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000811; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 28/04/25 09:47:01
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000246; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 28/04/25 09:47:48
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000439; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 28/04/25 09:47:48
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000419; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 28/04/25 09:47:48
