Starting Error Log for today 25/11/24 06:39:28
New() >> Init done - 25/11/24 06:39:28
New() >> Init done - 25/11/24 10:19:44
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000246; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 26/11/24 10:22:14
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000548; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 26/11/24 10:22:14
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000371; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 26/11/24 10:22:14
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000001170; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 26/11/24 10:22:14
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000001173; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 26/11/24 10:22:14
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000978; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 26/11/24 10:22:14
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000001166; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 26/11/24 10:22:15
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000246; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 26/11/24 10:23:11
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000730; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 26/11/24 10:23:11
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000371; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 26/11/24 10:23:11
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000001170; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 26/11/24 10:23:11
