Starting Error Log for today 29/05/25 12:00:02
New() >> Init done - 29/05/25 12:00:02
New() >> Init done - 29/05/25 05:30:02
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000642; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 03/06/25 03:29:40
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000246; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 03/06/25 03:29:40
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000439; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 03/06/25 03:29:40
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000713; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 03/06/25 03:29:40
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000428; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 03/06/25 03:29:40
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000552; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 03/06/25 03:29:52
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000777; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 03/06/25 03:29:52
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000777; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 03/06/25 03:30:23
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000777; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 04/06/25 02:43:19
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32506010000000000000046; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 04/06/25 02:54:06
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000642; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 04/06/25 02:54:06
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000304; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 04/06/25 02:54:06
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000834; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 04/06/25 02:54:06
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000439; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 04/06/25 02:54:06
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000001167; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 04/06/25 02:54:06
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000419; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 04/06/25 02:54:06
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000330; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 04/06/25 02:54:06
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000713; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 04/06/25 02:54:06
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000427; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 04/06/25 02:54:06
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000246; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 04/06/25 02:54:06
